id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Digital Pulse,SynthWave Co,electronic,upbeat,0.88,128,0.79,0.89,0.08
12,Morning Meditation,Zen Studio,classical,peaceful,0.25,70,0.68,0.32,0.87
13,Street Beats,Rhythm Kings,hip-hop,energetic,0.86,104,0.72,0.81,0.12
14,Island Vibes,Reggae Soul,reggae,laid-back,0.54,96,0.75,0.67,0.64
15,Autumn Leaves,Folk Wanderer,folk,melancholic,0.45,88,0.52,0.48,0.88
16,Midnight Serenade,Soul Velvet,r&b,romantic,0.58,92,0.74,0.62,0.24
17,Thunder Strike,Metal Storm,metal,aggressive,0.95,160,0.41,0.77,0.06
18,Dusty Road,Country Hearts,country,nostalgic,0.62,100,0.70,0.55,0.81
